GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06001","Alameda, CA",8,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",10037643,10056874,10267670,10702229,11305937,12096806,12420175,11958543,10731659,11456852,12256846,12992581,13550707,14132665,15085136,15036822,15635270,15896682,16735166
 "06001","Alameda, CA",8,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3197546,3445391,3660983,4070661,4113741,4334673,4779167,5030593
 "06001","Alameda, CA",8,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",12279588,12144616,13583667,13955333,14142020,14872769,15173971,15415396,14590416,15597684,15633240,16941448,17920534,18191537,21139595,23529041,25170044,26568012,27652692
 "06001","Alameda, CA",8,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15581086,16337184,16852702,19368935,20956892,23289153,24752908,25465603
 "06001","Alameda, CA",8,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),69816508,73721892,78935483,86114374,90039498,94904594,99769029,104385965
 "06003","Alpine, CA",8,CAGDP2,1,"...","All industry total","Thousands of dollars",57326,60721,63574,63468,67057,79973,87048,84328,82910,84889,96591,98033,100000,111008,119072,119011,116547,118241,133889
 "06003","Alpine, CA",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",48695,51084,51700,49561,52331,64277,69653,65458,65239,67162,77858,78991,78667,89301,96357,96169,96751,98547,113009
 "06003","Alpine, CA",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),402,(D),(D),(D),312,53,0,110,9,40,(D),38,(D),118,112,0,0
 "06003","Alpine, CA",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",(D),(D),0,0,0,0,0,0,0,0,0,0,(D),0,(D),0,0,0,0
 "06003","Alpine, CA",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",41,374,446,507,283,389,396,333,(D),274,(D),261,272,265,303,394,(D),358,445
 "06003","Alpine, CA",8,CAGDP2,11,"23","  Construction","Thousands of dollars",(D),2773,(D),(D),3588,3014,(D),4266,5678,2779,1967,(D),(D),2393,(D),1026,(D),(D),(D)
 "06003","Alpine, CA",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",734,754,(D),232,175,135,102,132,278,316,158,5,152,102,(D),(D),(D),(D),(D)
